,dates,portfolio_value,drawdown,turnover_penalty,circuit_breaker_state,n_trades
26,2015-03-11 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
27,2015-03-12 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
28,2015-03-13 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
29,2015-03-16 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
30,2015-03-17 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
31,2015-03-18 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
32,2015-03-19 00:00:00-04:00,9953.484617936545,0.46515382063455035,0.0,active,1
33,2015-03-20 00:00:00-04:00,9516.62886245726,4.833711375427392,0.0,active,2
34,2015-03-23 00:00:00-04:00,9516.62886245726,4.833711375427392,0.0,active,2
35,2015-03-24 00:00:00-04:00,9516.62886245726,4.833711375427392,0.0,active,2
36,2015-03-25 00:00:00-04:00,9816.89148764835,1.8310851235164955,0.0,active,3
37,2015-03-26 00:00:00-04:00,9816.89148764835,1.8310851235164955,0.0,active,3
38,2015-03-27 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
39,2015-03-30 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
40,2015-03-31 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
41,2015-04-01 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
42,2015-04-02 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
43,2015-04-06 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
44,2015-04-07 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
45,2015-04-08 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
46,2015-04-09 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
47,2015-04-10 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
48,2015-04-13 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
49,2015-04-14 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
50,2015-04-15 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
51,2015-04-16 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
52,2015-04-17 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
53,2015-04-20 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
54,2015-04-21 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
55,2015-04-22 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
56,2015-04-23 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
57,2015-04-24 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
58,2015-04-27 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
59,2015-04-28 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
60,2015-04-29 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
61,2015-04-30 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
62,2015-05-01 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
63,2015-05-04 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
64,2015-05-05 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
65,2015-05-06 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
66,2015-05-07 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
67,2015-05-08 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
68,2015-05-11 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
69,2015-05-12 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
70,2015-05-13 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
71,2015-05-14 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
72,2015-05-15 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
73,2015-05-18 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
74,2015-05-19 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
75,2015-05-20 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
76,2015-05-21 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
77,2015-05-22 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
78,2015-05-26 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
79,2015-05-27 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
80,2015-05-28 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
81,2015-05-29 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
82,2015-06-01 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
83,2015-06-02 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
84,2015-06-03 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
85,2015-06-04 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
86,2015-06-05 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
87,2015-06-08 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
88,2015-06-09 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
89,2015-06-10 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
90,2015-06-11 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
91,2015-06-12 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
92,2015-06-15 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
93,2015-06-16 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
94,2015-06-17 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
95,2015-06-18 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
96,2015-06-19 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
97,2015-06-22 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
98,2015-06-23 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
99,2015-06-24 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
100,2015-06-25 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
101,2015-06-26 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
102,2015-06-29 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
103,2015-06-30 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
104,2015-07-01 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
105,2015-07-02 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
106,2015-07-06 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
107,2015-07-07 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
108,2015-07-08 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
109,2015-07-09 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
110,2015-07-10 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
111,2015-07-13 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
112,2015-07-14 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
113,2015-07-15 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
114,2015-07-16 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
115,2015-07-17 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
116,2015-07-20 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
117,2015-07-21 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
118,2015-07-22 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
119,2015-07-23 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
120,2015-07-24 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
121,2015-07-27 00:00:00-04:00,9337.91761790133,6.620823820986697,0.0,active,4
122,2015-07-28 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
123,2015-07-29 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
124,2015-07-30 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
125,2015-07-31 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
126,2015-08-03 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
127,2015-08-04 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
128,2015-08-05 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
129,2015-08-06 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
130,2015-08-07 00:00:00-04:00,9386.126232170727,6.138737678292728,0.0,active,5
131,2015-08-10 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
132,2015-08-11 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
133,2015-08-12 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
134,2015-08-13 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
135,2015-08-14 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
136,2015-08-17 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
137,2015-08-18 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
138,2015-08-19 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
139,2015-08-20 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
140,2015-08-21 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
141,2015-08-24 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
142,2015-08-25 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
143,2015-08-26 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
144,2015-08-27 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
145,2015-08-28 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
146,2015-08-31 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
147,2015-09-01 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
148,2015-09-02 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
149,2015-09-03 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
150,2015-09-04 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
151,2015-09-08 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
152,2015-09-09 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
153,2015-09-10 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
154,2015-09-11 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
155,2015-09-14 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
156,2015-09-15 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
157,2015-09-16 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
158,2015-09-17 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
159,2015-09-18 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
160,2015-09-21 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
161,2015-09-22 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
162,2015-09-23 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
163,2015-09-24 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
164,2015-09-25 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
165,2015-09-28 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
166,2015-09-29 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
167,2015-09-30 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
168,2015-10-01 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
169,2015-10-02 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
170,2015-10-05 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
171,2015-10-06 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
172,2015-10-07 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
173,2015-10-08 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
174,2015-10-09 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
175,2015-10-12 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
176,2015-10-13 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
177,2015-10-14 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
178,2015-10-15 00:00:00-04:00,9111.382978904603,8.88617021095397,0.0,active,6
179,2015-10-16 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
180,2015-10-19 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
181,2015-10-20 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
182,2015-10-21 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
183,2015-10-22 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
184,2015-10-23 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
185,2015-10-26 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
186,2015-10-27 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
187,2015-10-28 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
188,2015-10-29 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
189,2015-10-30 00:00:00-04:00,8958.409972663465,10.41590027336535,0.0,active,7
190,2015-11-02 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
191,2015-11-03 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
192,2015-11-04 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
193,2015-11-05 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
194,2015-11-06 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
195,2015-11-09 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
196,2015-11-10 00:00:00-05:00,8958.409972663465,10.41590027336535,0.0,active,7
197,2015-11-11 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
198,2015-11-12 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
199,2015-11-13 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
200,2015-11-16 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
201,2015-11-17 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
202,2015-11-18 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
203,2015-11-19 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
204,2015-11-20 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
205,2015-11-23 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
206,2015-11-24 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
207,2015-11-25 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
208,2015-11-27 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
209,2015-11-30 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
210,2015-12-01 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
211,2015-12-02 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
212,2015-12-03 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
213,2015-12-04 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
214,2015-12-07 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
215,2015-12-08 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
216,2015-12-09 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
217,2015-12-10 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
218,2015-12-11 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
219,2015-12-14 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
220,2015-12-15 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
221,2015-12-16 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
222,2015-12-17 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
223,2015-12-18 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
224,2015-12-21 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
225,2015-12-22 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
226,2015-12-23 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
227,2015-12-24 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
228,2015-12-28 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
229,2015-12-29 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
230,2015-12-30 00:00:00-05:00,9036.78688373765,9.6321311626235,0.0,active,8
